-7,79930028290825 -6,56080735472538 -14,7544605201684
20,1504574209759 3,17522196576255 -5,54652569484494
-0,640667546202783 -9,32257124644191 10,1502778947306
-11,6985996283997 -3,43962295281595 -27,1444389687256
2,23390657692722 -5,87061297613276 14,1280025003545
-4,40437871310551 -11,332371999069 3,25170774767054
0,576964852511099 -5,48171588751835 6,47490181469154
4,10254536380389 -19,1697173764891 -2,85151174878561
8,12788544973655 13,9767820422736 7,68351632188928
-8,52869647481497 -2,39096547102604 4,00797317441621
5,27263345604919 1,55280420938918 19,5100170624081
-0,00383555049899156 0,0109105670272303 27,166497538293
1,86542175559598 5,24532479941434 -6,56428218047473
0,0552820423450467 19,2302783013707 -12,7985679022157
-4,37989514771308 -7,85370321452361 -6,13592448398942
6,21317098438154 0,612691017350809 19,8094425978142
-15,9785166493157 0,857846073040487 -0,489067278102831
14,4382958928461 -5,59151559426518 23,2426635054959
-3,03968110423461 -2,06142347918541 -0,0135997214008002
12,1817189120906 -2,83993614996939 -1,62118968998418
-3,85650057873294 2,08777000751646 -10,103634206163
-3,24341161694793 -8,87451096801949 -11,1862415248174
10,0772381652759 -14,0052229463238 10,8333803673679
-2,60818498721639 -1,17470205635672 9,84536451337635
1,38648948869258 16,0299827663546 -2,73124502894181
-0,353352017538935 -3,54352926128188 0,0915506665200569
4,00526123740285 -9,91420235304545 -23,5411065290701
-12,1058415781396 6,75329092260952 -6,05913967899619
-8,55265018407683 -8,26621081519589 -3,34554473704194
1,22143188303366 3,17332148472825 11,4463291670156
4,23416595699219 11,0492856544959 25,8652687736664
0,103813977853118 3,14633129256725 -4,81914110532306
0,163298266277268 0,00448242676807475 5,57817847589884
-19,8310732732297 -12,8014289651174 -0,323462088735862
0,55339990132301 -1,63989315547013 -5,66295644907171
9,51638273636844 12,5340785642203 7,78106412844042
-14,8907367093428 3,12027241608586 -6,68638364607096
0,166023978935719 -9,40667944790228 -20,4111963836722
-17,3597160358766 -21,088314124498 8,03321205871153
1,07158996276636 8,06502087500134 12,8354923348304
-9,70756758338987 -7,10051863304305 -13,7104562908981
-2,85663248905269 10,5549346619341 17,3716525599838
-7,71872745024524 -18,4495009229336 2,77225113103086
5,1174224933574 0,455503176914194 1,57905316753451
-19,7322675732057 -8,51026912316336 9,80153543434643
-0,965283800118931 -0,365456611098507 6,2478784242519
-20,783728814104 -8,62790321816371 18,9529596791579
-9,48057500636913 -25,3937401271259 3,75327154154958
0,324823669459421 7,36165557581034 5,97425581506178
-4,41871744779641 2,45000854592147 -7,97622531762684
5,31499850815801 17,7710453864983 8,43798229076691
-0,186158653277496 5,03697518301358 -7,94932886968549
5,68324918268217 -1,93351783318284 -12,362533579987
-9,74119040284076 -10,3763129886916 -6,88343145141389
6,9531973576176 1,04637379846762 0
2,75167547883588 1,04317696995702 16,6709612067968
0,033756093597432 0,186144542700691 -18,1449138202794
4,00753410734091 -3,17766507631846 -2,46099861616667
-0,58397499927822 -1,88644938848279 -11,7241518411743
9,00572802873928 -7,06187048996758 -5,42041967612333
16,3829727852929 2,83900648796159 13,3705525434689
-3,62501242315315 -6,69281771449698 -4,92257290104481
5,84291449461345 -2,32147094233272 7,45628782817837
0,0809138521029424 0,219376335613661 -14,2338796050799
6,97280806026159 2,50464010442335 3,20942366316216
4,72371299448113 15,3174795841148 7,09638983892479
-0,817322648557288 -6,31420384663372 -4,18250948590811
4,202459087161 -0,969395215134219 -9,47370335072895
-4,14263315770262 -2,37046324080101 -4,10920407800757
-1,3720787927896 -5,17812474992165 -3,6328433300551
-10,2771288653713 -0,689548808536957 -1,28110924015012
3,2858230116835 -5,13078803944235 -3,9183335375905
0,289553556890226 1,87788395689962 -4,13312807250286
2,62857252023485 -11,6445324050122 -10,6942326239187
-6,25730465471029 0,544394401214319 7,35660275647444
4,67264537508675 1,79740336766047 -0,0535850417859653
-3,51474221812562 -0,00779254231805632 -13,8773220279134
1,95830109176773 0,417841560428632 -4,08502321125105
-5,73746207331618 5,59408772413493 13,3350484716757
-0,587848073923262 3,12626737202574 -10,6361943311784
-1,40399738603117 0,274450008923271 4,75376055929615
-4,83200132713472 3,20613163236076 6,61987095546009
3,70758521679271 9,71069050738915 2,87094595733226
-0,451634409796541 -0,55804470187051 -4,61972152835016
-1,86979994108527 -2,31700702139016 1,39979521471757
2,74155057432961 5,54498489224604 0,963014767049868
0,856673719916277 -3,94432618193152 1,92308140964815
6,36295197972853 10,0080631626017 1,30851292964298
5,34670377917327 16,3495629175894 -11,1736653570598
16,0158587163383 -1,38685590162399 -24,9267691706411
-9,18283356221358 1,95194698642591 -11,640555870785
-6,717745031278 0,26187783515904 -7,20284593297622
4,56509235910167 3,00539131247546 -6,05547453220378
-10,8327484284843 -5,85917581431804 26,6284635347607
-4,69057983844415 -3,88561046050048 -7,01380385300519
12,6815052873665 6,55736381913681 22,3251988452505
-6,32437128005018 -5,56055464337828 -18,5402932611672
-13,9950933761331 -7,46946942377224 -6,99077123146275
-10,4945127484411 -6,8584095029705 26,1025106392541
-0,281836625260554 -2,4284170106734 -16,097115077831
24,4857830985584 -6,39164372315651 11,8050771728348
-15,4225204219657 -1,4020929758265 13,0997873296168
8,18841128354955 2,19287970657753 -19,2816685762389
0,774935453951758 2,74514825240661 -10,6046770188685
2,66373799628 -18,3826697941932 -21,2169722706806
12,3830056451495 16,0981139224512 -9,74772679869403
-9,19810236563054 11,7952532256191 6,5505485919047
20,7626615211969 -15,5067131885997 3,53939199336796
-0,509351336059244 -6,3162424078901 23,1612996032439
-14,6863437491461 21,3507354775153 3,72434504458
4,24199196180218 8,41209676439721 11,260695192679
4,90691196039303 -25,339790126386 -11,4358376000039
-3,68316954654297 -11,068144567023 9,82742823809453
-4,87040071979707 -7,42983726576167 7,78885190980669
-0,100952635827658 7,6453550158829 25,0441268830924
0,120771227315217 3,31743056848595 -23,2172789166588
-3,5530236470267 4,22198708323379 -9,24234832294672
2,03926508559519 2,92381982270386 -12,4010179338245
-9,19235922903615 -18,0688377350164 0
23,6358485874045 -8,89173403251114 -12,706677989875
17,8058618309768 0,0355237960674924 2,19924531511984
-1,33836007286375 17,5300657117208 -4,96681558930018
6,86286661590727 16,800698223561 2,22311875820908
-24,6428268498362 5,41212037585251 11,0927345089601
4,22473011847781 -17,5210942754725 -16,34697935724
3,79856602361656 2,58654326264847 26,6565633597933
-6,27202199539445 9,75469238394258 -10,4311284238064
-0,55399673882514 -21,3783058519914 -13,6929196109552
-21,0200556378607 0,335681167337201 -18,8767872037361
12,6459812672279 6,15606111939762 16,9189973651857
-10,1787397800303 -6,47323227827963 19,938145615926
0,209150751324496 -0,0232970430410598 27,7835030134972
-8,62123761998408 -9,48502403694904 11,041916560465
11,2156908257379 -1,55222617919805 25,0140399871766
1,71474715608902 0,350231982416058 -5,6455339780465
14,4343565677504 -0,987361079134191 17,2632140421316
17,0954738822258 -20,7268739838643 0,686727048503519
-9,19673561683794 1,83455750283885 15,2532417214428
-3,14625375608775 19,5082054906431 -0,372553723837099
-7,86550246120952 9,84881344468526 1,66825764631666
-9,19019246603846 7,49114100023123 -10,7537907996122
-6,4614071132733 18,5423511704029 0
1,58438672574243 -2,0233984582834 -8,41311471330372
-23,1422685879108 -1,02220974575097 -7,35885067117734
-5,95965590424575 -10,8913088731906 -18,7936552637253
-10,5410569201297 5,58250422886064 -26,1220048578079
-0,907050049658809 19,219056413935 20,7447402780897
3,13311469852899 -0,851895803988806 5,04888438701143
12,9495123321914 -9,5176819748289 -13,9767650919102
9,1408140411865 -6,04660628374289 7,22638072646665
1,28189944349751 4,30705958869208 28,7841276983725
0,513989460005416 20,7186964409274 6,07611054735717
-5,69150754095436 -16,0694429647034 -20,5364680691546
-3,91709773312094 2,43730483928 18,9999103805676
-4,32227765895822 6,88488953276451 -18,3411025723783
1,76123914603844 -11,5741346414839 -26,343052874169
-19,2801495582442 3,60378487938979 21,6132948093256
-5,45052362038421 2,17564692557099 2,86632875500828
8,18553017451927 2,98725503186117 10,4361747061198
-8,0667542474622 -9,69129341152553 -8,55124090894255
-0,846654485862044 2,45711613487237 -9,66207983465876
2,12857402782666 3,1473326632433 -3,30442527793315
-3,90589148800444 -13,4992692200908 -11,6756695040346
-0,308378350432322 6,26722247481708 -7,0933947054025
-7,1808686110948 0,746836267182764 25,1437321348724
-9,37690283013329 16,1000980687916 -9,58608027817058
5,71818719720113 2,51405854402789 9,21622991113858
8,49011574699357 8,43635499344038 13,3449363066035
1,98181729917313 -1,14526755537563 18,1262508660589
-4,4046300659034 -16,2433180069131 -20,3569571822223
18,1586066592215 14,133929106181 -3,3941125831539
-10,5114154628092 -6,47944783475249 3,8567808357408
7,51546591847448 -22,2298253307884 -6,44855018053571
-2,07873662620755 12,1516878062957 -18,2403614859242
7,48170083628317 -19,6722706375273 -6,24250837406255
-5,34562398432262 -6,92817085355965 -28,2276221324454
-1,42497455424749 -8,38404329285058 28,7488374316833
-23,7598673224935 -10,4871875367158 -0,107744824747937
9,93770302543998 0,897535498774726 2,7114735120595
2,21559273317343 6,45315928466386 21,3392759093992
5,14619221751021 -9,24154625258286 6,77063670062197
7,57069615916434 -2,32287638333925 -28,1846231298795
-28,7534119731565 0,830959004302065 4,50340056791642
-1,05128032994844 13,8705274814767 9,75900291492235
16,0373307882412 -16,5875660034565 15,1286420841232
-6,1650689246935 -0,788110852879732 9,41444461651094
-2,92075552901881 -15,3321152456962 9,53747485828381
-7,53203130043048 14,7851941428745 14,3684194957847
0,0420808651088018 0,0494540023064552 -28,5158260675094
-3,31618409916313 -1,68279565578989 25,1375242418841
11,4191628860314 -18,101312015133 -2,61848077195218
8,22112121139662 -16,0569200785546 2,44270711679376
-16,7490208982611 -16,3179964635112 3,49337285820549
8,35793369581706 9,31117485536064 19,739569603951
-6,25653338472523 2,55826038702771 21,8154244459736
11,8112083098108 -13,0850832447853 2,38961183025487
17,6655985168624 -2,12944783534418 11,3354473982097
-1,36229002468962 -6,98358337679063 -7,76211421895122
-17,3422599399931 -6,51954696339132 -2,65709047754193
-7,16163187910016 -8,61037918155282 22,8970918168255
4,07150177663047 1,00418474715382 -25,5195451667242
8,54765188348942 5,32455926085296 -21,8480110718652
-2,79825437829363 -9,0642720472978 11,0090596531646
-8,26780452706205 -3,50743928741617 28,0889583642288
1,97920567673286 -1,33563630845312 17,9605814633249
-16,309185907973 3,28404460955452 4,81062299828512
27,2950201413098 3,35979752202931 4,03665388489773
-1,75519697300767 1,15199865058984 -3,32581794412802
6,15552308009377 23,2720736006211 7,28165545035654
1,93418023567544 -4,10749293619059 9,59995338296322
-2,83723306108561 10,9548132327342 -9,82473250541689
14,0700937258343 5,24312498074309 10,3338039822006
3,23381796996185 -4,3912240138188 -19,1155017783372
-0,302215838705693 0,00489238121456604 29,8408692804255
5,29969385036864 13,7944730257714 1,7824354668904
17,443129443378 -18,485809519673 7,47497390724054
-1,82164940046603 7,33750103498815 15,9263616093987
-0,600367329688287 -6,5724331678932 1,90521033671361
-0,0572549737351215 -0,0489104311802078 21,9812710187037
-0,70381964588858 -0,505771718492127 0,97052990213326
10,4214165367089 -8,78578158721407 16,2261526502798
1,79818063713944 2,85553263119454 0
8,94911777670599 3,91358690598094 -6,0879731362728
-0,159904379110678 2,96161257782668 -10,8108328827339
-4,22969762250367 1,46122976069851 -27,2578066046892
-14,2891674207643 -19,8152707677773 3,903510065446
-11,4127711148557 23,2851484530416 11,8591160332349
12,8506881622745 -10,8028778987001 -14,949132795977
-8,50411745774508 -10,9796307410288 -1,78586110756962
-18,2757379354201 9,81344977232614 17,5473057901172
1,69259827604922 2,95626501987297 11,9539846394628
-15,4147371837269 -1,30642026569581 -0,369051495061864
-2,76139182306943 2,38937167688113 -1,15779687234141
7,66621635563873 -7,42988805591144 6,87865468425053
13,485884371821 -13,7230249069224 0,39552683077122
2,31868429010945 -22,6835736945522 9,58874008494439
6,23831425895059 -7,34908087105532 -3,01404139939427
-2,97464525140551 2,0826668658633 2,31407247088889
-2,69090042992203 2,3437548934726 1,02241457367775
-9,82059162065435 -3,889182767654 -17,2302645788223
-19,3366557678165 2,62717928708809 -6,05865785058572
6,15816186748294 -13,5273198717858 -12,9970032369108
2,86084211248275 -0,517852974272933 -1,34315206305239
-1,65307187910317 -2,5959890785759 1,94097545356271
0,653403651863258 -0,108109121598168 14,0868400234247
0,62542788439561 -22,0000881160104 5,63461057121082
-0,016645357069277 -0,231308129584582 17,4655604516796
-3,62053516705244 2,13163281333906 -15,0776689532312
-1,75188163257794 -2,10311616468046 -2,3430130995997
-7,85722951347156 10,6404526325089 -2,17932588383792
